# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3735.000 0.24 1.81 7.57 6.00 0.41 5.43 13.11 18.00
3735.500 0.24 1.82 7.59 6.36 0.42 5.47 13.15 19.07
3736.000 0.24 1.84 7.60 6.48 0.42 5.53 13.17 19.43
3736.500 0.25 1.87 7.58 6.10 0.43 5.60 13.13 18.29
3737.000 0.25 1.89 7.54 5.47 0.43 5.67 13.06 16.40
3737.500 0.26 1.92 7.51 5.05 0.44 5.75 13.02 15.16
3738.000 0.26 1.94 7.50 4.83 0.45 5.83 12.99 14.49
3738.500 0.26 1.97 7.50 4.75 0.45 5.90 12.99 14.26
3739.000 0.27 1.99 7.50 4.74 0.46 5.97 12.99 14.22
3739.500 0.27 2.01 7.50 4.75 0.46 6.03 12.99 14.26
3740.000 0.27 2.02 7.51 4.83 0.47 6.07 13.00 14.50
3740.500 0.27 2.03 7.52 5.06 0.47 6.10 13.03 15.19
3741.000 0.27 2.03 7.55 5.49 0.47 6.10 13.08 16.48
3741.500 0.27 2.03 7.59 6.15 0.46 6.10 13.15 18.44
3742.000 0.27 2.03 7.62 6.54 0.46 6.09 13.20 19.61
3742.500 0.27 2.03 7.61 6.39 0.46 6.08 13.18 19.16
3743.000 0.27 2.03 7.58 5.89 0.46 6.08 13.12 17.67
3743.500 0.27 2.02 7.54 5.29 0.46 6.07 13.05 15.86
3744.000 0.27 2.02 7.51 4.92 0.47 6.05 13.01 14.76
3744.500 0.27 2.01 7.50 4.80 0.46 6.04 13.00 14.39
3745.000 0.27 2.00 7.50 4.76 0.46 6.01 12.99 14.27
3745.500 0.27 1.99 7.50 4.77 0.46 5.98 12.99 14.32
3746.000 0.26 1.98 7.50 4.85 0.46 5.93 13.00 14.54
3746.500 0.26 1.96 7.52 5.04 0.45 5.88 13.02 15.12
3747.000 0.26 1.94 7.54 5.36 0.45 5.83 13.05 16.09
3747.500 0.26 1.93 7.55 5.62 0.44 5.78 13.08 16.86
3748.000 0.25 1.91 7.56 5.68 0.44 5.73 13.09 17.04
3748.500 0.25 1.89 7.54 5.48 0.44 5.68 13.06 16.45
3749.000 0.25 1.88 7.52 5.15 0.43 5.64 13.02 15.46
3749.500 0.25 1.87 7.50 4.95 0.43 5.62 13.00 14.85
3750.000 0.25 1.87 7.50 4.85 0.43 5.62 12.99 14.55
3750.500 0.25 1.89 7.50 4.82 0.44 5.66 12.99 14.46
3751.000 0.25 1.91 7.50 4.82 0.44 5.73 12.99 14.46
3751.500 0.26 1.94 7.50 4.83 0.45 5.81 12.99 14.48
3752.000 0.26 1.97 7.50 4.84 0.45 5.91 13.00 14.51
3752.500 0.27 2.00 7.51 4.84 0.46 6.00 13.00 14.53
3753.000 0.27 2.03 7.51 4.85 0.47 6.10 13.01 14.56
3753.500 0.27 2.06 7.51 4.86 0.48 6.19 13.01 14.58
3754.000 0.28 2.10 7.51 4.87 0.48 6.29 13.02 14.61
3754.500 0.28 2.13 7.52 4.88 0.49 6.38 13.02 14.64
3755.000 0.29 2.16 7.52 4.89 0.50 6.47 13.02 14.66
3755.500 0.29 2.19 7.52 4.89 0.50 6.56 13.03 14.68
3756.000 0.29 2.21 7.52 4.90 0.51 6.64 13.03 14.70
3756.500 0.30 2.24 7.53 4.91 0.52 6.73 13.04 14.72
3757.000 0.30 2.27 7.53 4.91 0.52 6.81 13.04 14.73
3757.500 0.30 2.30 7.53 4.91 0.53 6.89 13.04 14.74
3758.000 0.31 2.32 7.53 4.92 0.53 6.97 13.05 14.75
3758.500 0.31 2.35 7.53 4.92 0.54 7.05 13.05 14.76
3759.000 0.32 2.37 7.54 4.92 0.55 7.12 13.05 14.77
3759.500 0.32 2.39 7.54 4.92 0.55 7.18 13.06 14.77
3760.000 0.32 2.40 7.54 4.93 0.55 7.21 13.06 14.78
3760.500 0.32 2.40 7.54 4.93 0.55 7.21 13.06 14.79
3761.000 0.32 2.40 7.54 4.93 0.55 7.19 13.06 14.80
3761.500 0.32 2.38 7.54 4.93 0.55 7.15 13.06 14.80
3762.000 0.31 2.37 7.54 4.94 0.54 7.10 13.05 14.81
3762.500 0.31 2.35 7.54 4.94 0.54 7.05 13.05 14.82
3763.000 0.31 2.33 7.53 4.94 0.54 7.00 13.05 14.83
3763.500 0.31 2.32 7.53 4.95 0.53 6.95 13.05 14.84
3764.000 0.31 2.30 7.53 4.95 0.53 6.89 13.05 14.84
3764.500 0.30 2.28 7.53 4.95 0.52 6.84 13.05 14.85
3765.000 0.30 2.26 7.53 4.95 0.52 6.78 13.04 14.86
3765.500 0.30 2.24 7.53 4.96 0.51 6.71 13.04 14.87
3766.000 0.29 2.21 7.53 4.96 0.51 6.64 13.04 14.89
3766.500 0.29 2.19 7.53 4.97 0.50 6.57 13.04 14.91
3767.000 0.29 2.16 7.53 4.98 0.50 6.49 13.04 14.93
3767.500 0.28 2.14 7.53 4.99 0.49 6.42 13.03 14.96
3768.000 0.28 2.11 7.52 5.00 0.49 6.34 13.03 14.99
3768.500 0.28 2.09 7.52 5.01 0.48 6.27 13.03 15.02
3769.000 0.28 2.07 7.52 5.02 0.48 6.21 13.03 15.05
3769.500 0.27 2.06 7.52 5.03 0.47 6.17 13.03 15.09
3770.000 0.27 2.06 7.52 5.04 0.47 6.17 13.03 15.12
3770.500 0.28 2.07 7.52 5.05 0.48 6.21 13.03 15.15
3771.000 0.28 2.10 7.53 5.06 0.48 6.30 13.04 15.18
3771.500 0.28 2.13 7.53 5.07 0.49 6.40 13.04 15.21
3772.000 0.29 2.17 7.53 5.08 0.50 6.52 13.05 15.24
3772.500 0.29 2.21 7.54 5.09 0.51 6.64 13.05 15.27
3773.000 0.30 2.25 7.54 5.10 0.52 6.76 13.06 15.30
3773.500 0.30 2.29 7.54 5.11 0.53 6.88 13.07 15.33
3774.000 0.31 2.33 7.55 5.12 0.54 7.00 13.07 15.37
3774.500 0.32 2.38 7.55 5.13 0.55 7.14 13.08 15.40
3775.000 0.32 2.43 7.55 5.14 0.56 7.28 13.08 15.43
3775.500 0.33 2.48 7.56 5.15 0.57 7.43 13.09 15.46
3776.000 0.33 2.53 7.56 5.18 0.58 7.60 13.10 15.55
3776.500 0.34 2.59 7.58 5.31 0.59 7.78 13.12 15.92
3777.000 0.35 2.65 7.60 5.65 0.60 7.95 13.17 16.94
3777.500 0.35 2.71 7.65 6.31 0.61 8.13 13.25 18.93
3778.000 0.36 2.77 7.72 7.36 0.62 8.31 13.38 22.09
3778.500 0.36 2.83 7.77 8.03 0.63 8.49 13.46 24.09
3779.000 0.37 2.89 7.76 7.89 0.64 8.66 13.45 23.67
3779.500 0.38 2.94 7.72 7.13 0.66 8.82 13.37 21.38
3780.000 0.39 2.98 7.66 6.12 0.67 8.95 13.26 18.37
3780.500 0.40 3.02 7.62 5.53 0.69 9.05 13.20 16.60
3781.000 0.40 3.04 7.61 5.30 0.69 9.13 13.17 15.91
3781.500 0.40 3.07 7.60 5.22 0.70 9.20 13.17 15.67
3782.000 0.41 3.09 7.60 5.21 0.70 9.26 13.17 15.63
3782.500 0.41 3.11 7.60 5.21 0.71 9.32 13.17 15.63
3783.000 0.41 3.13 7.61 5.21 0.71 9.38 13.17 15.64
3783.500 0.41 3.14 7.61 5.22 0.72 9.43 13.18 15.65
3784.000 0.42 3.16 7.61 5.22 0.72 9.48 13.18 15.66
