# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3725.500 0.10 1.13 11.43 2.99 0.17 3.39 19.80 8.98
3726.000 0.10 1.13 11.43 2.99 0.17 3.40 19.80 8.98
3726.500 0.10 1.14 11.43 2.99 0.17 3.41 19.80 8.97
3727.000 0.10 1.14 11.43 2.99 0.17 3.41 19.80 8.96
3727.500 0.10 1.14 11.43 2.99 0.17 3.42 19.80 8.96
3728.000 0.10 1.14 11.43 2.98 0.17 3.43 19.80 8.95
3728.500 0.10 1.14 11.43 2.98 0.17 3.43 19.80 8.94
3729.000 0.10 1.15 11.43 2.98 0.17 3.44 19.80 8.94
3729.500 0.10 1.15 11.43 2.98 0.17 3.44 19.80 8.93
3730.000 0.10 1.15 11.43 2.98 0.17 3.44 19.80 8.93
3730.500 0.10 1.15 11.43 3.00 0.17 3.44 19.80 8.99
3731.000 0.10 1.14 11.44 3.16 0.17 3.43 19.81 9.47
3731.500 0.10 1.14 11.46 3.63 0.17 3.42 19.84 10.90
3732.000 0.10 1.14 11.51 4.94 0.17 3.41 19.94 14.81
3732.500 0.10 1.13 11.56 6.03 0.17 3.40 20.02 18.08
3733.000 0.10 1.13 11.55 5.82 0.17 3.39 20.01 17.45
3733.500 0.10 1.13 11.50 4.68 0.17 3.38 19.92 14.04
3734.000 0.10 1.12 11.45 3.47 0.17 3.37 19.83 10.42
3734.500 0.10 1.12 11.44 3.26 0.17 3.36 19.82 9.78
3735.000 0.10 1.12 11.46 3.64 0.17 3.37 19.84 10.93
3735.500 0.10 1.13 11.48 4.12 0.17 3.40 19.88 12.37
3736.000 0.10 1.15 11.49 4.30 0.17 3.44 19.90 12.91
3736.500 0.10 1.16 11.47 3.85 0.18 3.48 19.86 11.54
3737.000 0.10 1.18 11.44 3.29 0.18 3.53 19.82 9.87
3737.500 0.10 1.19 11.43 3.04 0.18 3.58 19.80 9.13
3738.000 0.11 1.21 11.43 2.96 0.18 3.63 19.80 8.88
3738.500 0.11 1.22 11.43 2.95 0.19 3.67 19.80 8.85
3739.000 0.11 1.24 11.43 2.95 0.19 3.72 19.80 8.85
3739.500 0.11 1.25 11.43 2.95 0.19 3.76 19.80 8.85
3740.000 0.11 1.26 11.43 2.96 0.19 3.79 19.80 8.89
3740.500 0.11 1.27 11.44 3.05 0.19 3.81 19.81 9.16
3741.000 0.11 1.27 11.45 3.31 0.19 3.81 19.83 9.92
3741.500 0.11 1.27 11.47 3.89 0.19 3.80 19.87 11.66
3742.000 0.11 1.27 11.49 4.36 0.19 3.80 19.91 13.09
3742.500 0.11 1.26 11.49 4.18 0.19 3.79 19.90 12.53
3743.000 0.11 1.26 11.46 3.66 0.19 3.79 19.86 10.98
3743.500 0.11 1.26 11.44 3.15 0.19 3.78 19.82 9.46
3744.000 0.11 1.26 11.43 2.99 0.19 3.78 19.81 8.97
3744.500 0.11 1.26 11.43 2.96 0.19 3.77 19.80 8.89
3745.000 0.11 1.25 11.43 2.96 0.19 3.76 19.80 8.87
3745.500 0.11 1.24 11.43 2.96 0.19 3.73 19.80 8.89
3746.000 0.11 1.24 11.43 2.98 0.19 3.71 19.80 8.95
3746.500 0.11 1.22 11.44 3.07 0.19 3.67 19.81 9.21
3747.000 0.11 1.21 11.45 3.35 0.18 3.64 19.83 10.04
3747.500 0.11 1.20 11.46 3.62 0.18 3.61 19.85 10.85
3748.000 0.10 1.19 11.46 3.69 0.18 3.58 19.85 11.07
3748.500 0.10 1.18 11.45 3.45 0.18 3.55 19.83 10.34
3749.000 0.10 1.17 11.44 3.16 0.18 3.52 19.81 9.47
3749.500 0.10 1.17 11.43 3.04 0.18 3.50 19.80 9.13
3750.000 0.10 1.17 11.43 3.01 0.18 3.50 19.80 9.02
3750.500 0.10 1.18 11.43 3.01 0.18 3.53 19.80 9.02
3751.000 0.10 1.19 11.43 3.01 0.18 3.58 19.80 9.04
3751.500 0.11 1.21 11.43 3.02 0.18 3.63 19.80 9.06
3752.000 0.11 1.23 11.43 3.02 0.19 3.69 19.81 9.07
3752.500 0.11 1.25 11.44 3.03 0.19 3.75 19.81 9.09
3753.000 0.11 1.27 11.44 3.04 0.19 3.82 19.81 9.11
3753.500 0.11 1.29 11.44 3.04 0.20 3.88 19.81 9.13
