ap_id	lambda	zero_point
  105     5896      18.83
  105     5898      18.71
  105     5900      18.72
  105     5902      18.65
  105     5904      18.58
  105     5906      18.52
  105     5908      18.43
  105     5910      18.33
  104     5908      17.66
  104     5910      17.80
  104     5912      17.93
  104     5914      18.07
  104     5916      18.18
  104     5918      18.28
  104     5920      18.35
  104     5922      18.45
  104     5924      18.52
  104     5926      18.60
  104     5928      18.70
  104     5930      18.74
  104     5932      18.77
  104     5934      18.80
  104     5936      18.84
  104     5938      18.85
  104     5940      18.86
  104     5942      18.85
  104     5944      18.84
  104     5946      18.85
  104     5948      18.81
  104     5950      18.81
  104     5952      18.77
  104     5954      18.75
  104     5956      18.69
  104     5958      18.64
  104     5960      18.57
  104     5962      18.51
  104     5964      18.42
  104     5966      18.34
  104     5968      18.24
  103     5966      17.62
  103     5968      17.74
  103     5970      17.86
  103     5972      18.00
  103     5974      18.10
  103     5976      18.21
  103     5978      18.30
  103     5980      18.38
  103     5982      18.46
  103     5984      18.56
  103     5986      18.61
  103     5988      18.65
  103     5990      18.68
  103     5992      18.73
  103     5994      18.74
  103     5996      18.77
  103     5998      18.78
  103     6000      18.79
  103     6002      18.79
  103     6004      18.77
  103     6006      18.76
  103     6008      18.74
  103     6010      18.71
  103     6012      18.67
  103     6014      18.63
  103     6016      18.57
  103     6018      18.52
  103     6020      18.45
  103     6022      18.37
  103     6024      18.30
  103     6026      18.20
  102     6024      17.47
  102     6026      17.62
  102     6028      17.73
  102     6030      17.86
  102     6032      17.98
  102     6034      18.07
  102     6036      18.17
  102     6038      18.26
  102     6040      18.34
  102     6042      18.43
  102     6044      18.50
  102     6046      18.55
  102     6048      18.58
  102     6050      18.62
  102     6052      18.64
  102     6054      18.68
  102     6056      18.69
  102     6058      18.70
  102     6060      18.70
  102     6062      18.70
  102     6064      18.69
  102     6066      18.67
  102     6068      18.65
  102     6070      18.60
  102     6072      18.58
  102     6074      18.52
  102     6076      18.48
  102     6078      18.41
  102     6080      18.35
  102     6082      18.28
  102     6084      18.20
  102     6086      18.11
  101     6084      17.39
  101     6086      17.53
