# lambda elam
8633.233233 0.404860
8639.439439 0.404693
8645.645646 0.404524
8651.851852 0.404354
8658.058058 0.404183
8664.264264 0.404009
8670.470470 0.403834
8676.676677 0.403657
8682.882883 0.403478
8689.089089 0.403298
8695.295295 0.403116
8701.501502 0.402932
8707.707708 0.402747
8713.913914 0.402559
8720.120120 0.402370
8726.326326 0.402179
8732.532533 0.401987
8738.738739 0.401792
8744.944945 0.401596
8751.151151 0.401398
8757.357357 0.401198
8763.563564 0.400997
8769.769770 0.400794
8775.975976 0.400588
8782.182182 0.400381
8788.388388 0.400172
8794.594595 0.399962
8800.800801 0.399749
8807.007007 0.399535
8813.213213 0.399318
8819.419419 0.399100
8825.625626 0.398880
8831.831832 0.398658
8838.038038 0.398434
8844.244244 0.398208
8850.450450 0.397981
8856.656657 0.397751
8862.862863 0.397520
8869.069069 0.397286
8875.275275 0.397051
8881.481481 0.396814
8887.687688 0.396574
8893.893894 0.396333
8900.100100 0.396090
8906.306306 0.395845
8912.512513 0.395598
8918.718719 0.395349
8924.924925 0.395097
8931.131131 0.394844
8937.337337 0.394589
8943.543544 0.394332
8949.749750 0.394073
8955.955956 0.393812
8962.162162 0.393548
8968.368368 0.393283
8974.574575 0.393016
8980.780781 0.392747
8986.986987 0.392475
8993.193193 0.392202
8999.399399 0.391926
9005.605606 0.391648
9011.811812 0.391369
9018.018018 0.391087
9024.224224 0.390803
9030.430430 0.390517
9036.636637 0.390228
9042.842843 0.389938
9049.049049 0.389646
9055.255255 0.389351
9061.461461 0.389054
9067.667668 0.388755
9073.873874 0.388454
9080.080080 0.388151
9086.286286 0.387846
9092.492492 0.387538
9098.698699 0.387228
9104.904905 0.386916
9111.111111 0.386602
9117.317317 0.386286
9123.523524 0.385967
9129.729730 0.385646
9135.935936 0.385323
9142.142142 0.384998
9148.348348 0.384670
9154.554555 0.384340
9160.760761 0.384008
9166.966967 0.383674
9173.173173 0.383337
9179.379379 0.382998
9185.585586 0.382657
9191.791792 0.382314
9197.997998 0.381968
9204.204204 0.381620
9210.410410 0.381269
9216.616617 0.380916
9222.822823 0.380561
9229.029029 0.380204
9235.235235 0.379844
9241.441441 0.379482
9247.647648 0.379118
9253.853854 0.378751
9260.060060 0.378381
9266.266266 0.378010
9272.472472 0.377636
9278.678679 0.377259
9284.884885 0.376881
9291.091091 0.376499
9297.297297 0.376116
9303.503504 0.375730
9309.709710 0.375341
9315.915916 0.374950
9322.122122 0.374557
9328.328328 0.374161
9334.534535 0.373763
9340.740741 0.373362
9346.946947 0.372959
9353.153153 0.372553
9359.359359 0.372145
9365.565566 0.371734
9371.771772 0.371321
9377.977978 0.370905
9384.184184 0.370487
9390.390390 0.370066
9396.596597 0.369643
9402.802803 0.369217
9409.009009 0.368789
9415.215215 0.368358
9421.421421 0.367924
9427.627628 0.367488
9433.833834 0.367050
9440.040040 0.366609
9446.246246 0.366165
9452.452452 0.365718
9458.658659 0.365269
9464.864865 0.364818
9471.071071 0.364364
9477.277277 0.363907
9483.483483 0.363447
9489.689690 0.362985
9495.895896 0.362521
9502.102102 0.362053
9508.308308 0.361583
9514.514515 0.361111
9520.720721 0.360635
9526.926927 0.360157
9533.133133 0.359676
9539.339339 0.359193
9545.545546 0.358707
9551.751752 0.358218
9557.957958 0.357727
9564.164164 0.357232
9570.370370 0.356735
9576.576577 0.356236
9582.782783 0.355733
9588.988989 0.355228
9595.195195 0.354720
9601.401401 0.354209
9607.607608 0.353696
9613.813814 0.353179
9620.020020 0.352660
9626.226226 0.352138
